ds,y
2020-01-01,118
2020-01-02,135
2020-01-03,123
2020-01-04,108
2020-01-05,99
2020-01-06,99
2020-01-07,134
2020-01-08,138
2020-01-09,153
2020-01-10,110
2020-01-11,81
2020-01-12,97
2020-01-13,146
2020-01-14,151
2020-01-15,152
2020-01-16,134
2020-01-17,121
2020-01-18,81
2020-01-19,83
2020-01-20,144
2020-01-21,142
2020-01-22,148
2020-01-23,129
2020-01-24,115
2020-01-25,93
2020-01-26,103
2020-01-27,132
2020-01-28,164
2020-01-29,137
2020-01-30,159
2020-01-31,128
2020-02-01,99
2020-02-02,112
2020-02-03,142
2020-02-04,153
2020-02-05,146
2020-02-06,166
2020-02-07,132
2020-02-08,96
2020-02-09,99
2020-02-10,145
2020-02-11,141
2020-02-12,134
2020-02-13,138
2020-02-14,120
2020-02-15,99
2020-02-16,104
2020-02-17,160
2020-02-18,144
2020-02-19,157
2020-02-20,160
2020-02-21,126
2020-02-22,111
2020-02-23,113
2020-02-24,133
2020-02-25,149
2020-02-26,165
2020-02-27,144
2020-02-28,114
2020-02-29,121
2020-03-01,110
2020-03-02,138
2020-03-03,164
2020-03-04,149
2020-03-05,129
2020-03-06,117
2020-03-07,107
2020-03-08,81
2020-03-09,153
2020-03-10,141
2020-03-11,140
2020-03-12,135
2020-03-13,130
2020-03-14,72
2020-03-15,97
2020-03-16,129
2020-03-17,115
2020-03-18,128
2020-03-19,116
2020-03-20,122
2020-03-21,78
2020-03-22,105
2020-03-23,141
2020-03-24,151
2020-03-25,146
2020-03-26,130
2020-03-27,138
2020-03-28,102
2020-03-29,110
2020-03-30,117
2020-03-31,153
2020-04-01,145
2020-04-02,140
2020-04-03,122
2020-04-04,107
2020-04-05,103
2020-04-06,152
2020-04-07,126
2020-04-08,154
2020-04-09,142
2020-04-10,102
2020-04-11,133
2020-04-12,116
2020-04-13,122
2020-04-14,173
2020-04-15,150
2020-04-16,159
2020-04-17,130
2020-04-18,114
2020-04-19,101
2020-04-20,138
2020-04-21,159
2020-04-22,174
2020-04-23,136
2020-04-24,149
2020-04-25,106
2020-04-26,113
2020-04-27,136
2020-04-28,134
2020-04-29,140
2020-04-30,161
2020-05-01,111
2020-05-02,108
2020-05-03,109
2020-05-04,135
2020-05-05,133
2020-05-06,123
2020-05-07,149
2020-05-08,128
2020-05-09,97
2020-05-10,107
2020-05-11,130
2020-05-12,140
2020-05-13,127
2020-05-14,116
2020-05-15,113
2020-05-16,105
2020-05-17,108
2020-05-18,130
2020-05-19,139
2020-05-20,141
2020-05-21,91
2020-05-22,112
2020-05-23,91
2020-05-24,90
2020-05-25,141
2020-05-26,137
2020-05-27,133
2020-05-28,140
2020-05-29,105
2020-05-30,108
2020-05-31,113
2020-06-01,150
2020-06-02,139
2020-06-03,138
2020-06-04,137
2020-06-05,137
2020-06-06,90
2020-06-07,93
2020-06-08,136
2020-06-09,140
2020-06-10,109
2020-06-11,147
2020-06-12,130
2020-06-13,114
2020-06-14,106
2020-06-15,121
2020-06-16,111
2020-06-17,140
2020-06-18,136
2020-06-19,100
2020-06-20,88
2020-06-21,93
2020-06-22,132
2020-06-23,129
2020-06-24,106
2020-06-25,120
2020-06-26,97
2020-06-27,104
2020-06-28,116
2020-06-29,120
2020-06-30,120
2020-07-01,117
2020-07-02,129
2020-07-03,105
2020-07-04,78
2020-07-05,81
2020-07-06,101
2020-07-07,109
2020-07-08,93
2020-07-09,94
2020-07-10,105
2020-07-11,90
2020-07-12,84
2020-07-13,95
2020-07-14,130
2020-07-15,95
2020-07-16,109
2020-07-17,116
2020-07-18,94
2020-07-19,82
2020-07-20,107
2020-07-21,113
2020-07-22,106
2020-07-23,120
2020-07-24,96
2020-07-25,83
2020-07-26,87
2020-07-27,99
2020-07-28,110
2020-07-29,110
2020-07-30,104
2020-07-31,99
2020-08-01,110
2020-08-02,104
2020-08-03,122
2020-08-04,119
2020-08-05,107
2020-08-06,121
2020-08-07,97
2020-08-08,89
2020-08-09,99
2020-08-10,112
2020-08-11,116
2020-08-12,125
2020-08-13,115
2020-08-14,118
2020-08-15,71
2020-08-16,92
2020-08-17,102
2020-08-18,142
2020-08-19,124
2020-08-20,122
2020-08-21,116
2020-08-22,98
2020-08-23,98
2020-08-24,143
2020-08-25,148
2020-08-26,119
2020-08-27,134
2020-08-28,102
2020-08-29,87
2020-08-30,86
2020-08-31,125
2020-09-01,132
2020-09-02,127
2020-09-03,111
2020-09-04,114
2020-09-05,99
2020-09-06,98
2020-09-07,133
2020-09-08,142
2020-09-09,138
2020-09-10,140
2020-09-11,113
2020-09-12,87
2020-09-13,89
2020-09-14,134
2020-09-15,132
2020-09-16,127
2020-09-17,116
2020-09-18,114
2020-09-19,81
2020-09-20,80
2020-09-21,148
2020-09-22,122
2020-09-23,127
2020-09-24,143
2020-09-25,131
2020-09-26,99
2020-09-27,105
2020-09-28,154
2020-09-29,131
2020-09-30,139
2020-10-01,133
2020-10-02,111
2020-10-03,82
2020-10-04,83
2020-10-05,139
2020-10-06,163
2020-10-07,142
2020-10-08,131
2020-10-09,121
2020-10-10,82
2020-10-11,80
2020-10-12,137
2020-10-13,133
2020-10-14,127
2020-10-15,128
2020-10-16,107
2020-10-17,101
2020-10-18,101
2020-10-19,132
2020-10-20,143
2020-10-21,138
2020-10-22,126
2020-10-23,133
2020-10-24,98
2020-10-25,107
2020-10-26,139
2020-10-27,133
2020-10-28,133
2020-10-29,139
2020-10-30,140
2020-10-31,84
2020-11-01,104
2020-11-02,162
2020-11-03,131
2020-11-04,148
2020-11-05,127
2020-11-06,135
2020-11-07,93
2020-11-08,81
2020-11-09,125
2020-11-10,141
2020-11-11,135
2020-11-12,122
2020-11-13,121
2020-11-14,104
2020-11-15,93
2020-11-16,143
2020-11-17,149
2020-11-18,134
2020-11-19,125
2020-11-20,112
2020-11-21,101
2020-11-22,105
2020-11-23,146
2020-11-24,142
2020-11-25,147
2020-11-26,139
2020-11-27,135
2020-11-28,105
2020-11-29,104
2020-11-30,119
2020-12-01,138
2020-12-02,160
2020-12-03,127
2020-12-04,145
2020-12-05,125
2020-12-06,119
2020-12-07,146
2020-12-08,135
2020-12-09,133
2020-12-10,151
2020-12-11,129
2020-12-12,85
2020-12-13,109
2020-12-14,152
2020-12-15,137
2020-12-16,135
2020-12-17,143
2020-12-18,126
2020-12-19,104
2020-12-20,96
2020-12-21,132
2020-12-22,134
2020-12-23,124
2020-12-24,79
2020-12-25,113
2020-12-26,113
2020-12-27,119
2020-12-28,143
2020-12-29,157
2020-12-30,143
2020-12-31,133
2021-01-01,129
2021-01-02,95
2021-01-03,113
2021-01-04,141
2021-01-05,137
2021-01-06,118
2021-01-07,127
2021-01-08,123
2021-01-09,101
2021-01-10,120
2021-01-11,140
2021-01-12,149
2021-01-13,127
2021-01-14,138
2021-01-15,128
2021-01-16,103
2021-01-17,99
2021-01-18,146
2021-01-19,153
2021-01-20,129
2021-01-21,153
2021-01-22,134
2021-01-23,105
2021-01-24,99
2021-01-25,152
2021-01-26,143
2021-01-27,138
2021-01-28,124
2021-01-29,117
2021-01-30,120
2021-01-31,107
2021-02-01,148
2021-02-02,143
2021-02-03,140
2021-02-04,126
2021-02-05,116
2021-02-06,102
2021-02-07,88
2021-02-08,132
2021-02-09,138
2021-02-10,129
2021-02-11,136
2021-02-12,123
2021-02-13,105
2021-02-14,90
2021-02-15,144
2021-02-16,139
2021-02-17,145
2021-02-18,151
2021-02-19,130
2021-02-20,109
2021-02-21,99
2021-02-22,142
2021-02-23,128
2021-02-24,141
2021-02-25,102
2021-02-26,126
2021-02-27,113
2021-02-28,100
2021-03-01,149
2021-03-02,142
2021-03-03,166
2021-03-04,145
2021-03-05,146
2021-03-06,109
2021-03-07,82
2021-03-08,136
2021-03-09,159
2021-03-10,156
2021-03-11,145
2021-03-12,131
2021-03-13,108
2021-03-14,109
2021-03-15,145
2021-03-16,156
2021-03-17,152
2021-03-18,125
2021-03-19,140
2021-03-20,101
2021-03-21,117
2021-03-22,162
2021-03-23,142
2021-03-24,158
2021-03-25,150
2021-03-26,145
2021-03-27,104
2021-03-28,96
2021-03-29,179
2021-03-30,159
2021-03-31,160
2021-04-01,140
2021-04-02,102
2021-04-03,122
2021-04-04,134
2021-04-05,115
2021-04-06,151
2021-04-07,168
2021-04-08,166
2021-04-09,157
2021-04-10,128
2021-04-11,88
2021-04-12,153
2021-04-13,152
2021-04-14,164
2021-04-15,155
2021-04-16,135
2021-04-17,130
2021-04-18,102
2021-04-19,146
2021-04-20,175
2021-04-21,153
2021-04-22,157
2021-04-23,148
2021-04-24,107
2021-04-25,99
2021-04-26,134
2021-04-27,156
2021-04-28,151
2021-04-29,146
2021-04-30,154
2021-05-01,112
2021-05-02,112
2021-05-03,146
2021-05-04,177
2021-05-05,136
2021-05-06,158
2021-05-07,122
2021-05-08,108
2021-05-09,100
2021-05-10,168
2021-05-11,141
2021-05-12,135
2021-05-13,100
2021-05-14,127
2021-05-15,116
2021-05-16,99
2021-05-17,148
2021-05-18,122
2021-05-19,141
2021-05-20,140
2021-05-21,108
2021-05-22,69
2021-05-23,95
2021-05-24,138
2021-05-25,128
2021-05-26,141
2021-05-27,127
2021-05-28,144
2021-05-29,89
2021-05-30,91
2021-05-31,122
2021-06-01,132
2021-06-02,131
2021-06-03,121
2021-06-04,108
2021-06-05,91
2021-06-06,100
2021-06-07,116
2021-06-08,123
2021-06-09,140
2021-06-10,119
2021-06-11,121
2021-06-12,76
2021-06-13,81
2021-06-14,106
2021-06-15,125
2021-06-16,140
2021-06-17,116
2021-06-18,104
2021-06-19,96
2021-06-20,90
2021-06-21,133
2021-06-22,109
2021-06-23,97
2021-06-24,105
2021-06-25,91
2021-06-26,82
2021-06-27,83
2021-06-28,86
2021-06-29,128
2021-06-30,108
2021-07-01,105
2021-07-02,93
2021-07-03,91
2021-07-04,89
2021-07-05,124
2021-07-06,117
2021-07-07,124
